# TypeScript no-regression baseline
# Format: <count>	<normalized diagnostic key>
# Key: <file> :: <TS code> :: <message> (line/column stripped)
1	__raw__ :: Overload 1 of 4, '(templateString_0: TemplateStringsArray, ...templateString: TemplateExpression[]): SyncResult<{}>', gave the following error.
1	__raw__ :: Overload 2 of 2, '(values?: readonly PromptInputMode[]): Set<PromptInputMode>', gave the following error.
1	__raw__ :: Overload 2 of 3, '(params: MessageCreateParamsStreaming, options?: RequestOptions): APIPromise<Stream<BetaRawMessageStreamEvent>>', gave the following error.
1	__raw__ :: Overload 2 of 4, '(file: string | URL, arguments?: readonly string[], options?: {}): SyncResult<{}>', gave the following error.
1	__raw__ :: Overload 3 of 3, '(params: MessageCreateParamsBase, options?: RequestOptions): APIPromise<BetaMessage | Stream<BetaRawMessageStreamEvent>>', gave the following error.
1	__raw__ :: Overload 3 of 4, '(file: string | URL, options?: SyncOptions): SyncResult<SyncOptions>', gave the following error.
1	__raw__ :: Property '#private' in type 'GoogleAuth' refers to a different member that cannot be accessed from within type 'GoogleAuth'.
1	__raw__ :: Property 'apiMetricsRef' does not exist on type 'Props'.
3	__raw__ :: Property 'args' does not exist on type '{ type: "sse-ide"; url: string; ideName: string; ideRunningInWindows?: boolean; } & { scope: "user" | "project" | "local" | "dynamic" | "enterprise" | "claudeai" | "managed"; pluginSource?: string; }'.
1	__raw__ :: Property 'awsSecretKey' is missing in type '{ logger: Logger; skipAuth: true; awsRegion: string; fetch: Fetch; defaultHeaders: { [key: string]: string; }; maxRetries: number; timeout: number; dangerouslyAllowBrowser: boolean; fetchOptions: ClientOptions["fetchOptions"]; }' but required in type 'SecretOnly'.
1	__raw__ :: Property 'baseBranch' does not exist on type '{ worktreePath: string; worktreeBranch: string; headCommit: string; existed: true; }'.
2	__raw__ :: Property 'blockedDependency' does not exist on type '{ ok: true; closure: string[]; depNote: string; }'.
3	__raw__ :: Property 'classifierApprovable' does not exist on type '{ safe: true; }'.
4	__raw__ :: Property 'command' does not exist on type '{ isCrossProject: true; isSameRepoWorktree: true; projectPath: string; }'.
2	__raw__ :: Property 'command' does not exist on type '{ type: "sse-ide"; url: string; ideName: string; ideRunningInWindows?: boolean; } & { scope: "user" | "project" | "local" | "dynamic" | "enterprise" | "claudeai" | "managed"; pluginSource?: string; }'.
3	__raw__ :: Property 'command' does not exist on type '{ type: "sse"; url: string; headers?: Record<string, string>; headersHelper?: string; oauth?: { clientId?: string; callbackPort?: number; authServerMetadataUrl?: string; xaa?: boolean; }; }'.
1	__raw__ :: Property 'content' does not exist on type 'string'.
1	__raw__ :: Property 'content' is missing in type 'AssistantMessage' but required in type 'MessagePayload'.
1	__raw__ :: Property 'content' is optional in type '{ [key: string]: unknown; role?: string; content?: string | SDKContentBlock[]; }' but required in type 'MessagePayload'.
1	__raw__ :: Property 'data' does not exist on type 'string'.
3	__raw__ :: Property 'data' does not exist on type 'void'.
1	__raw__ :: Property 'default' is missing in type 'typeof sharp' but required in type '{ default: typeof sharp; cache(options?: boolean | CacheOptions): CacheResult; concurrency(concurrency?: number): number; counters(): SharpCounters; ... 11 more ...; bool: BoolEnum; }'.
2	__raw__ :: Property 'depNote' does not exist on type '{ ok: false; reason: "local-source-no-location"; pluginName: string; }'.
5	__raw__ :: Property 'description' does not exist on type 'MonitorMcpTaskState'.
1	__raw__ :: Property 'error' does not exist on type '{ done: true; value: T; }'.
1	__raw__ :: Property 'error' does not exist on type '{ isValid: true; }'.
1	__raw__ :: Property 'error' does not exist on type '{ ok: true; }'.
2	__raw__ :: Property 'error' does not exist on type '{ ok: true; result: ImportTokenResult; }'.
2	__raw__ :: Property 'error' does not exist on type '{ ok: true; size: number; scope: BundleScope; }'.
1	__raw__ :: Property 'error' does not exist on type '{ ok: true; value: string; }'.
2	__raw__ :: Property 'error' does not exist on type '{ path: string; fileId: string; size: number; success: true; }'.
1	__raw__ :: Property 'error' does not exist on type '{ success: true; data: { type: "pdf"; file: { filePath: string; base64: string; originalSize: number; }; }; }'.
2	__raw__ :: Property 'error' does not exist on type '{ success: true; data: PDFExtractPagesResult; }'.
5	__raw__ :: Property 'error' does not exist on type '{ success: true; fileId: string; bundleSizeBytes: number; scope: BundleScope; hasWip: boolean; }'.
5	__raw__ :: Property 'error' does not exist on type '{ success: true; message: string; }'.
1	__raw__ :: Property 'error' does not exist on type '{ success: true; recipientName: string; }'.
2	__raw__ :: Property 'error' does not exist on type '{ success: true; tokens: ParseEntry[]; }'.
4	__raw__ :: Property 'errors' does not exist on type '{ eligible: true; }'.
5	__raw__ :: Property 'event' does not exist on type 'void'.
1	__raw__ :: Property 'executed' is missing in type '{ messages: Message[]; tokensFreed: number; boundaryMessage?: Message; }' but required in type '{ messages: Message[]; executed: boolean; }'.
2	__raw__ :: Property 'failReason' does not exist on type '{ ok: true; size: number; scope: BundleScope; }'.
2	__raw__ :: Property 'failReason' does not exist on type '{ success: true; fileId: string; bundleSizeBytes: number; scope: BundleScope; hasWip: boolean; }'.
21	__raw__ :: Property 'filter' does not exist on type 'string'.
5	__raw__ :: Property 'find' does not exist on type 'string'.
1	__raw__ :: Property 'findLast' does not exist on type 'string'.
1	__raw__ :: Property 'fullSchema' does not exist on type '{ isValid: true; }'.
14	__raw__ :: Property 'id' does not exist on type 'string'.
2	__raw__ :: Property 'id' is missing in type 'MessageContentBlock' but required in type '{ id: string; }'.
1	__raw__ :: Property 'input_tokens' is missing in type '{}' but required in type '{ input_tokens: number; cache_creation_input_tokens?: number; cache_read_input_tokens?: number; }'.
28	__raw__ :: Property 'input' does not exist on type 'string'.
3	__raw__ :: Property 'is_error' does not exist on type 'string'.
1	__raw__ :: Property 'key' does not exist on type '{ onDone: (result?: string, options?: { display?: CommandResultDisplay; }) => void; onResume: (sessionId: `${string}-${string}-${string}-${string}-${string}`, log: LogOption, entrypoint: ResumeEntrypoint) => Promise<...>; }'.
5	__raw__ :: Property 'key' does not exist on type 'Props'.
4	__raw__ :: Property 'map' does not exist on type 'string'.
2	__raw__ :: Property 'message' does not exist on type '{ ok: true; closure: string[]; depNote: string; }'.
1	__raw__ :: Property 'message' does not exist on type '{ result: true; }'.
4	__raw__ :: Property 'message' does not exist on type '{ safe: true; }'.
5	__raw__ :: Property 'message' does not exist on type '{ valid: true; }'.
1	__raw__ :: Property 'message' does not exist on type 'never'.
1	__raw__ :: Property 'message' is missing in type '{ attachment: Attachment; type: "attachment"; uuid: `${string}-${string}-${string}-${string}-${string}`; timestamp: string; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ logicalParentUuid: `${string}-${string}-${string}-${string}-${string}`; type: "system"; subtype: "compact_boundary"; content: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; level: string; compactMetadata: { ...; }; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ preventContinuation: true; type: "system"; subtype: "informational"; content: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; toolUseID: string; level: SystemMessageLevel; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ ttftMs: number; type: "stream_event"; event: BetaRawMessageStreamEvent; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "attachment"; uuid: string; timestamp: string | number; attachment: { type: string; count: number; }; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "grouped_tool_use"; toolName: string; messages: any[]; results: UserMessage[]; displayMessage: any; uuid: string; timestamp: any; messageId: string; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "stream_event"; event: unknown; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "agents_killed"; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; isMeta: false; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "api_error"; level: string; cause: Error; error: APIError<number, Headers, Object>; retryInMs: number; retryAttempt: number; maxRetries: number; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "api_metrics"; ttftMs: number; otps: number; isP50: boolean; hookDurationMs: number; turnDurationMs: number; toolDurationMs: number; classifierDurationMs: number; ... 6 more ...; isMeta: false; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "away_summary"; content: string; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; isMeta: false; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "bridge_status"; content: string; url: string; upgradeNudge: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "file_snapshot"; content: string; level: string; isMeta: true; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; snapshotFiles: unknown; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "informational"; content: string; isMeta: false; timestamp: string; uuid: any; level: string; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "local_command"; content: string; level: string; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; isMeta: false; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "memory_saved"; writtenPaths: string[]; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; isMeta: false; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "microcompact_boundary"; content: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; level: string; microcompactMetadata: { trigger: "auto"; preTokens: number; tokensSaved: number; compactedToolIds: string[]; clearedAttachmentUUIDs: string[...' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "permission_retry"; content: string; commands: string[]; level: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "scheduled_task_fire"; content: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "stop_hook_summary"; hookCount: number; hookInfos: StopHookInfo[]; hookErrors: string[]; preventedContinuation: boolean; stopReason: string; hasOutput: boolean; ... 5 more ...; totalDurationMs: number; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: "turn_duration"; durationMs: number; budgetTokens: number; budgetLimit: number; budgetNudges: number; messageCount: number; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; isMeta: false; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: string; content: any; level: string; uuid: string; timestamp: string; }' but required in type 'BaseMessage'.
2	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: string; content: string; level: string; uuid: string; timestamp: string; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: string; content: string; level: string; uuid: string; timestamp: string; compactMetadata: CompactMetadata; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: string; content: string; level: string; uuid: string; timestamp: string; toolUseID: unknown; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "system"; subtype: string; content: string; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; level: string; }' but required in type 'BaseMessage'.
1	__raw__ :: Property 'message' is missing in type '{ type: "tool_use_summary"; summary: string; precedingToolUseIds: string[]; uuid: `${string}-${string}-${string}-${string}-${string}`; timestamp: string; }' but required in type 'BaseMessage'.
2	__raw__ :: Property 'message' is optional in type '{ type: string; isMeta?: boolean; message?: { content: { type: string; name?: string; }[]; }; }' but required in type 'BaseMessage'.
21	__raw__ :: Property 'name' does not exist on type 'string'.
9	__raw__ :: Property 'notified' does not exist on type 'MonitorMcpTaskState'.
1	__raw__ :: Property 'outputFormat' is optional in type '{ print?: string | true; outputFormat?: string; }' but required in type '{ print?: string | boolean; outputFormat: string; }'.
1	__raw__ :: Property 'outputOffset' does not exist on type 'MonitorMcpTaskState'.
6	__raw__ :: Property 'pluginName' does not exist on type '{ ok: true; closure: string[]; depNote: string; }'.
1	__raw__ :: Property 'reason' does not exist on type '{ ok: true; }'.
2	__raw__ :: Property 'reason' does not exist on type '{ ok: true; closure: string[]; depNote: string; }'.
1	__raw__ :: Property 'reason' does not exist on type 'ReactiveCompactSuccess'.
2	__raw__ :: Property 'resolution' does not exist on type '{ ok: true; closure: string[]; depNote: string; }'.
2	__raw__ :: Property 'result' does not exist on type 'ReactiveCompactFailure'.
3	__raw__ :: Property 'retryAfterMs' does not exist on type '{ ok: true; }'.
8	__raw__ :: Property 'some' does not exist on type 'string'.
1	__raw__ :: Property 'source' is missing in type 'MessageContentBlock' but required in type 'ImageBlockParam'.
1	__raw__ :: Property 'source' is optional in type '{ source?: { source: "url"; url: string; headers?: Record<string, string>; } | { source: "github"; repo: string; ref?: string; path?: string; sparsePaths?: string[]; } | { source: "git"; url: string; ref?: string; path?: string; sparsePaths?: string[]; } | ... 5 more ... | { ...; }; installLocation?: string; autoUpd...' but required in type 'DeclaredMarketplace'.
19	__raw__ :: Property 'text' does not exist on type 'string'.
2	__raw__ :: Property 'text' is optional in type '{ cache_control?: { type: "ephemeral"; ttl?: "1h"; scope?: CacheScope; }; type: string; text?: string; }' but required in type 'BetaTextBlockParam'.
1	__raw__ :: Property 'text' is optional in type 'MessageContentBlock' but required in type 'TextBlockParam'.
2	__raw__ :: Property 'thinking' does not exist on type 'string'.
12	__raw__ :: Property 'tool_use_id' does not exist on type 'string'.
2	__raw__ :: Property 'tool_use_id' is missing in type 'MessageContentBlock' but required in type '{ tool_use_id: string; }'.
4	__raw__ :: Property 'tool_use_id' is missing in type 'MessageContentBlock' but required in type 'ToolResultBlockParam'.
2	__raw__ :: Property 'toolUseId' does not exist on type 'MonitorMcpTaskState'.
1	__raw__ :: Property 'toolUseID' does not exist on type 'void'.
1	__raw__ :: Property 'trim' does not exist on type '(TextBlockParam | ImageBlockParam | DocumentBlockParam | SearchResultBlockParam)[]'.
66	__raw__ :: Property 'type' does not exist on type 'string'.
7	__raw__ :: Property 'type' does not exist on type 'void'.
1	__raw__ :: Property 'type' is missing in type '{}' but required in type '{ readonly type: string; }'.
5	__raw__ :: Property 'type' is missing in type '{}' but required in type 'SDKMessageBase'.
8	__raw__ :: Target signature provides too few arguments. Expected 1 or more, but got 0.
1	__raw__ :: The last overload gave the following error.
5	__raw__ :: The types of 'context_management.edits' are incompatible between these types.
1	__raw__ :: The types of 'five_hour.resets_at' are incompatible between these types.
5	__raw__ :: The types of 'message.content' are incompatible between these types.
1	__raw__ :: The types returned by '[Symbol.iterator]().next(...)' are incompatible between these types.
1	__raw__ :: The types returned by 'snipReplay(...)' are incompatible between these types.
1	__raw__ :: Type '"adaptive"' is not assignable to type '"enabled" | "disabled"'.
22	__raw__ :: Type '"attachment"' is not assignable to type '"hook_result"'.
1	__raw__ :: Type '"bagel_console"' is not assignable to type '"structured_output" | "output_style" | "auto_mode" | "edited_text_file" | "edited_image_file" | "opened_file_in_ide" | "todo_reminder" | "task_reminder" | "skill_discovery" | ... 26 more ... | "pen_mode_exit"'.
5	__raw__ :: Type '"clear_thinking_20251015"' is not assignable to type '"clear_tool_uses_20250919"'.
1	__raw__ :: Type '"from"' is not assignable to type 'PartialCompactDirection'.
3	__raw__ :: Type '"hook_result"' is not assignable to type '"progress"'.
1	__raw__ :: Type '"low" | "medium" | "high" | "max"' is not assignable to type 'EffortLevel'.
1	__raw__ :: Type '"max" | EffortValue' is not assignable to type 'EffortValue'.
2	__raw__ :: Type '"max"' is not assignable to type 'EffortLevel'.
3	__raw__ :: Type '"max"' is not assignable to type 'EffortValue'.
1	__raw__ :: Type '"overlapped"' is not assignable to type 'StdioOptionsProperty<true>'.
1	__raw__ :: Type '"pen_mode_enter"' is not assignable to type '"file" | "structured_output" | "output_style" | "directory" | "auto_mode" | "plan_file_reference" | "queued_command" | "diagnostics" | "hook_blocking_error" | "hook_error_during_execution" | ... 49 more ... | "bagel_console"'.
1	__raw__ :: Type '"stream_event"' is not assignable to type '"user" | "assistant" | "system" | "attachment" | "grouped_tool_use" | "collapsed_read_search"'.
1	__raw__ :: Type '"structured_output" | "output_style" | "auto_mode" | "edited_text_file" | "edited_image_file" | "opened_file_in_ide" | "todo_reminder" | "task_reminder" | "plan_mode" | "plan_mode_reentry" | ... 23 more ... | "pen_mode_exit"' is not assignable to type '"file" | "structured_output" | "output_style" | "directory" | "auto_mode" | "plan_file_reference" | "queued_command" | "diagnostics" | "hook_blocking_error" | "hook_error_during_execution" | ... 49 more ... | "bagel_console"'.
1	__raw__ :: Type '"system"' is not comparable to type '"compact_boundary"'.
2	__raw__ :: Type '"user"' is not assignable to type '"attachment"'.
4	__raw__ :: Type '"user"' is not comparable to type '"user_replay"'.
1	__raw__ :: Type '(callbackfn: (value: "structured_output" | "output_style" | "auto_mode" | "edited_text_file" | "edited_image_file" | "opened_file_in_ide" | "todo_reminder" | "task_reminder" | "plan_mode" | ... 24 more ... | "pen_mode_exit", value2: "structured_output" | ... 32 more ... | "pen_mode_exit", set: Set<...>) => void, thi...' is not assignable to type '(callbackfn: (value: "file" | "structured_output" | "output_style" | "directory" | "auto_mode" | "plan_file_reference" | "queued_command" | "diagnostics" | "hook_blocking_error" | "hook_error_during_execution" | ... 49 more ... | "bagel_console", value2: "file" | ... 58 more ... | "bagel_console", set: ReadonlySet<....'.
1	__raw__ :: Type '(MessageContentBlock | ContentBlockParam)[]' is not assignable to type 'MessageContentBlock[]'.
3	__raw__ :: Type '(string | MessageContentBlock)[]' is not assignable to type 'MessageContentBlock[]'.
1	__raw__ :: Type '(TextBlockParam | ImageBlockParam | DocumentBlockParam | SearchResultBlockParam | ThinkingBlockParam | ... 6 more ... | WebSearchToolResultBlock)[]' is not assignable to type 'MessageContentBlock[]'.
1	__raw__ :: Type '{ [key: string]: unknown; role?: string; content?: string | SDKContentBlock[]; }' is not assignable to type 'MessagePayload'.
3	__raw__ :: Type '{ agentId: AgentId; parentSessionId: string; agentType: "subagent"; subagentName: string; isBuiltIn: boolean; invokingRequestId: unknown; invocationKind: "spawn"; invocationEmitted: boolean; }' is not assignable to type 'SubagentContext'.
2	__raw__ :: Type '{ attachment: { type: string; displayPath: string; }; uuid?: string; parentUuid?: string; sessionId?: string; timestamp?: number | string; type: "attachment"; subtype?: string; message: MessagePayload; ... 4 more ...; toolUseResult?: unknown; }' is not comparable to type 'BaseMessage & { type: "attachment"; } & { cwd: string; userType: string; entrypoint?: string; sessionId: string; timestamp: string; version: string; gitBranch?: string; slug?: string; }'.
2	__raw__ :: Type '{ attachment: { type: string; displayPath: string; }; uuid?: string; parentUuid?: string; sessionId?: string; timestamp?: string | number; type: "attachment"; subtype?: string; message: MessagePayload; ... 4 more ...; toolUseResult?: unknown; }' is missing the following properties from type '{ cwd: string; userType: string; entrypoint?: string; sessionId: string; timestamp: string; version: string; gitBranch?: string; slug?: string; }': cwd, userType, version
1	__raw__ :: Type '{ attachment: any; uuid?: string; parentUuid?: string; sessionId?: string; timestamp?: number | string; type: "hook_result"; subtype?: string; message: MessagePayload; ... 4 more ...; toolUseResult?: unknown; }' is not assignable to type '{ type: "progress"; }'.
1	__raw__ :: Type '{ attachment: any; uuid?: string; parentUuid?: string; sessionId?: string; timestamp?: number | string; type: "hook_result"; subtype?: string; message: MessagePayload; ... 4 more ...; toolUseResult?: unknown; }' is not assignable to type 'ProgressMessage'.
2	__raw__ :: Type '{ cache_control?: { type: "ephemeral"; ttl?: "1h"; scope?: CacheScope; }; type: string; text?: string; }' is not assignable to type 'BetaContentBlockParam'.
2	__raw__ :: Type '{ cache_control?: { type: "ephemeral"; ttl?: "1h"; scope?: CacheScope; }; type: string; text?: string; }' is not assignable to type 'BetaTextBlockParam'.
2	__raw__ :: Type '{ cache_control?: { type: "ephemeral"; ttl?: "1h"; scope?: CacheScope; }; type: string; text?: string; }[]' is not assignable to type 'BetaContentBlockParam[]'.
1	__raw__ :: Type '{ command: string; succeeded: boolean; output: any; blocked: boolean; watchPaths?: undefined; systemMessage?: undefined; } | { command: string; succeeded: boolean; output: string; blocked: boolean; watchPaths: unknown; systemMessage: unknown; }' is not assignable to type 'HookOutsideReplResult'.
1	__raw__ :: Type '{ command: string; succeeded: boolean; output: string; blocked: boolean; watchPaths: unknown; systemMessage: unknown; }' is not assignable to type 'HookOutsideReplResult'.
1	__raw__ :: Type '{ decisionReason: { type: "mode"; mode: "default"; }; }' is missing the following properties from type 'PermissionAskDecision<Record<string, unknown>>': behavior, message
1	__raw__ :: Type '{ decisionReason: { type: "mode"; mode: "default"; }; }' is not assignable to type 'PermissionDecision<Record<string, unknown>>'.
1	__raw__ :: Type '{ default: typeof sharp; cache(options?: boolean | CacheOptions): CacheResult; concurrency(concurrency?: number): number; counters(): SharpCounters; ... 11 more ...; bool: BoolEnum; }' has no call signatures.
1	__raw__ :: Type '{ effortValue?: "max" | EffortValue; settings: { [x: string]: unknown; disableAutoMode?: "disable"; sshConfigs?: { id: string; name: string; sshHost: string; sshPort?: number; sshIdentityFile?: string; startDirectory?: string; }[]; ... 84 more ...; gcpAuthRefresh?: string; }; ... 82 more ...; channelPermissionCallba...' is not assignable to type '{ tasks: { [taskId: string]: TaskState; }; agentNameRegistry: Map<string, AgentId>; foregroundedTaskId?: string; viewingAgentTaskId?: string; companionReaction?: string; ... 47 more ...; channelPermissionCallbacks?: ChannelPermissionCallbacks; }'.
1	__raw__ :: Type '{ effortValue?: "max" | EffortValue; settings: { [x: string]: unknown; disableAutoMode?: "disable"; sshConfigs?: { id: string; name: string; sshHost: string; sshPort?: number; sshIdentityFile?: string; startDirectory?: string; }[]; ... 84 more ...; gcpAuthRefresh?: string; }; ... 82 more ...; channelPermissionCallba...' is not assignable to type 'AppState'.
1	__raw__ :: Type '{ input: { plan: string; }; type: string; text?: string; }' is missing the following properties from type 'BetaMCPToolUseBlock': id, name, server_name
1	__raw__ :: Type '{ inputTokens: unknown; outputTokens: unknown; cacheReadInputTokens: unknown; cacheCreationInputTokens: unknown; webSearchRequests: unknown; costUSD: unknown; }' is not assignable to type '{ inputTokens: number; outputTokens: number; cacheReadInputTokens: number; cacheCreationInputTokens: number; webSearchRequests: number; costUSD: number; }'.
1	__raw__ :: Type '{ isolation?: "worktree"; memory?: "user" | "project" | "local"; background?: true; initialPrompt?: string; skills?: string[]; maxTurns?: number; hooks?: Partial<Record<"PreToolUse" | "PostToolUse" | "PostToolUseFailure" | ... 23 more ... | "FileChanged", { ...; }[]>>; ... 9 more ...; whenToUse: string; }' is not assignable to type 'BaseAgentDefinition'.
1	__raw__ :: Type '{ key: string; jsx: any; priority: string; }' is not assignable to type 'BaseNotification'.
1	__raw__ :: Type '{ key: string; jsx: any; priority: string; }' is not assignable to type 'JSXNotification'.
1	__raw__ :: Type '{ key: string; jsx: any; priority: string; }' is not assignable to type 'Result'.
1	__raw__ :: Type '{ key: string; jsx: any; priority: string; timeoutMs: number; text?: undefined; } | { key: string; text: string; priority: string; jsx?: undefined; timeoutMs?: undefined; }' is not assignable to type 'Result'.
1	__raw__ :: Type '{ key: string; jsx: any; priority: string; timeoutMs: number; text?: undefined; }' is not assignable to type 'BaseNotification'.
1	__raw__ :: Type '{ key: string; jsx: any; priority: string; timeoutMs: number; text?: undefined; }' is not assignable to type 'JSXNotification'.
1	__raw__ :: Type '{ key: string; jsx: any; priority: string; timeoutMs: number; text?: undefined; }' is not assignable to type 'Result'.
1	__raw__ :: Type '{ key: string; text: any; priority: string; color: string; }' is not assignable to type 'BaseNotification'.
1	__raw__ :: Type '{ key: string; text: any; priority: string; color: string; }' is not assignable to type 'Notification'.
1	__raw__ :: Type '{ key: string; text: any; priority: string; color: string; }' is not assignable to type 'TextNotification'.
1	__raw__ :: Type '{ key: string; text: any; priority: string; color: string; }[]' is not assignable to type 'Notification[]'.
1	__raw__ :: Type '{ key: string; text: any; priority: string; color: string; }[]' is not assignable to type 'Result'.
1	__raw__ :: Type '{ message: { content: ContentBlockParam[]; role?: string; }; uuid?: string; parentUuid?: string; sessionId?: string; timestamp?: number | string; type: "user"; subtype?: string; ... 4 more ...; toolUseResult?: unknown; }' is not assignable to type 'BaseMessage'.
1	__raw__ :: Type '{ message: { content: ContentBlockParam[]; role?: string; }; uuid?: string; parentUuid?: string; sessionId?: string; timestamp?: number | string; type: "user"; subtype?: string; ... 4 more ...; toolUseResult?: unknown; }' is not assignable to type 'UserMessage | AssistantMessage'.
1	__raw__ :: Type '{ message: { content: ContentBlockParam[]; role?: string; }; uuid?: string; parentUuid?: string; sessionId?: string; timestamp?: number | string; type: "user"; subtype?: string; ... 4 more ...; toolUseResult?: unknown; }' is not assignable to type 'UserMessage'.
